CONTROL_STORE,CORR_SALES,CORR_CUST,DIST_SALES,DIST_CUST,SCORE_DIST_SALES,SCORE_DIST_CUST,FINAL_SCORE
1,0.050163087991522026,0.3505720034089105,53.612500000000004,5.875,0.9694075297190823,0.9411764705882353,0.5778297729269375
2,-0.20079608588877473,-0.4552264466416406,83.26249999999999,8.375,0.9442199769574243,0.9131652661064426,0.3003406776333629
3,0.6165735527386851,0.756912588524373,848.73125,64.5,0.2939574296378493,0.28431372549019607,0.48793932409777585
4,-0.09412535649278286,-0.3020461348000616,1009.5500000000001,74.5,0.15734256452186657,0.17226890756302526,-0.016640004801988156
5,-0.04576545448395396,0.2776192130191838,566.5875,49.25,0.5336373820660802,0.4551820728291317,0.30516830335761047
6,0.04852477823078797,0.10213482637099768,35.87500000000001,5.875,0.9844754628425194,0.9411764705882353,0.5190778845081351
7,-0.1852679144337287,-0.3425284034388504,800.7375000000001,61.25,0.33472792239855165,0.3207282913165266,0.03191497396062479
8,-0.27871601230086046,-0.43301517299571957,130.3,7.25,0.9042618146293808,0.9257703081232493,0.27957523436401255
9,-0.43192126652507606,-0.7001305873678667,105.4875,13.125,0.925339931084647,0.8599439775910365,0.16330801369568518
10,0.01698177796731376,0.06819695590500857,655.70625,58.0,0.4579313713518135,0.3571428571428571,0.22506324059174823
12,0.09227833646594885,0.0900937462695559,179.45,6.5,0.8625090922605616,0.9341736694677871,0.49476371111596334
13,-0.2504111642157207,-0.04524777220084527,631.0875,58.25,0.4788448979808545,0.35434173669467783,0.1343819245647416
14,0.44244417611947184,0.6229844846460209,202.05,36.625,0.8433104854338004,0.5966386554621849,0.6263444504153696
15,-0.19230304347911523,-0.03619746911342092,556.625,47.25,0.5421004847435851,0.4775910364145658,0.1977977521414037
16,-0.1723150390725507,-0.48270385946396216,97.95,7.375,0.9317430062597227,0.9243697478991597,0.3002734639055924
17,0.843806140345968,0.7411961365053151,155.0375,3.25,0.8832474103649116,0.9705882352941176,0.8597094806275781
18,0.0842880077960134,-0.2532457254658621,44.575,8.0,0.9770848487100936,0.9173669467787114,0.4313735194547391
19,-0.6579631333787734,-0.6442443679814406,531.5875,44.5,0.5633697377712414,0.5084033613445378,-0.05760860056110867
20,0.5220132158255523,0.36314600989293067,48.92500000000001,6.125,0.9733895416438807,0.938375350140056,0.699231029375605
21,0.41376640486705285,0.18411348101529257,195.8625,6.875,0.8485667411745342,0.9299719887955182,0.5941046539630994
22,-0.4728720957192102,-0.3554579471003621,74.1,6.25,0.9520034829330969,0.9369747899159664,0.26516205750737276
23,0.4175556338748602,0.2673154916322386,629.0875,53.625,0.48054388973543516,0.4061624649859944,0.3928943700571321
24,-0.6451897297740586,-0.434633250186025,516.0375,45.25,0.5765793986631058,0.5,-0.0008108953242444428
25,-0.21162441094770498,-0.43755265203710747,202.1125,8.375,0.8432573919414698,0.9131652661064426,0.276811398765775
26,0.4432968245485617,0.5481529480810677,952.4,72.25,0.20589125390900842,0.19747899159663862,0.3487050045338191
27,0.5327829274061653,0.5419420448627583,174.4375,5.125,0.8667671903454793,0.9495798319327731,0.7227679986367941
28,0.08754116372814702,0.19718379485493073,559.81875,51.125,0.5393874072854891,0.4341736694677871,0.31457150883408846
29,-0.2715654923518032,-0.22747182541885075,136.025,7.375,0.8993984507318937,0.9243697478991597,0.33118272021509987
30,0.5036739289523916,0.243343775217537,637.325,54.5,0.4735461674462561,0.396358543417367,0.40423060375838793
32,-0.17079518164854687,-0.03584685471769454,590.0249999999999,48.625,0.5137273224420884,0.46218487394957986,0.1923175400063567
33,0.41981208847426416,0.31786992086761323,688.475,61.125,0.43009445332285623,0.3221288515406162,0.37247632855133744
34,-0.1752036782819303,-0.22697241358237324,120.225,7.625,0.9128204855930808,0.9215686274509804,0.3580532552949394
35,0.5067082123261466,0.7318139069292985,115.975,9.5,0.9164308430715647,0.9005602240896359,0.7638782966041614
36,0.11913065142035914,0.11186443625325297,769.38125,56.625,0.36136492750083626,0.37254901960784315,0.24122725869557288
37,0.4434526663610372,0.43432046358484977,163.59375,7.125,0.8759789112648463,0.927170868347339,0.670230727389518
38,0.0748090583415897,-0.41391767227560833,49.33749999999999,7.5,0.9730391245944985,0.9229691876750701,0.38922492458388747
39,0.16552162928340203,0.17148073170458505,606.5,53.625,0.4997318778637303,0.4061624649859944,0.3107241759594279
40,0.045116676455430285,0.41865943219353013,1036.025,80.375,0.13485216117060528,0.10644257703081228,0.1762677117125945
41,0.6326484658672392,0.8118441408859888,39.72500000000001,2.75,0.9812049037149516,0.9761904761904762,0.850471996664664
42,0.04940486690748071,0.0858319199262697,219.1125,37.625,0.8288159620275343,0.5854341736694677,0.3873717306326881
43,0.28207589326943283,0.2762918379016052,769.6624999999999,66.625,0.36112600678534845,0.26050420168067223,0.29499948490926464
45,0.26916768780600114,0.1429740180895972,561.6375,49.0,0.5378423866586672,0.45798319327731096,0.3519918214578941
46,0.4416322492121244,0.4595959595959596,30.65,4.25,0.9889140788013613,0.9593837535014006,0.7123815102777115
47,-0.26121647378202006,0.0031422778628194432,143.24374999999998,12.75,0.8932661523677043,0.8641456582633054,0.3748344036779523
48,0.17391885208447805,-0.15158991140696282,613.9125,51.25,0.4934349896733158,0.4327731092436975,0.23713425989863213
49,-0.19872723766533001,-0.2292032134600841,827.1750000000001,61.0,0.3122693751426887,0.32352941176470584,0.05196708394549511
50,0.5909450707572552,0.38766130606304766,40.43749999999999,8.125,0.9805996379023824,0.9159663865546218,0.7187931003193267
51,-0.06948515350819001,0.1890640292963699,73.45,6.5,0.9525556552533356,0.9341736694677871,0.5015770501273257
52,-0.0023195778776179572,-0.04494665749754946,206.575,37.5,0.8394665165890617,0.5868347338935574,0.34475875377686294
53,0.5189294364627703,0.4834937784152283,35.400000000000006,4.75,0.9848789733842322,0.953781512605042,0.7352709252168181
54,-0.1715653669944626,-0.6809666745956688,216.65,10.25,0.8309078456253617,0.892156862745098,0.21763316669508206
55,-0.5100538614513105,-0.4186552892357223,661.7874999999999,58.875,0.4527653745480418,0.3473389355742297,-0.03215121014119035
56,-0.17685858387566258,-0.04423033025453107,466.0625,40.0,0.6190329551306897,0.5588235294117647,0.23919189260306517
57,-0.07963530130412037,0.6066031248008855,641.6499999999999,57.875,0.4698720977769756,0.3585434173669467,0.3388458346601719
58,0.13177838131164435,0.19963885774957926,1053.34375,81.0,0.12013995444578351,0.09943977591036413,0.13774924235434283
59,0.32369002164774674,0.34990925405431866,839.6875,65.0,0.3016400579780937,0.27871148459383754,0.31348770456849917
60,0.5384562176113653,0.27946127946127947,836.95,59.75,0.30396555294217587,0.33753501400560226,0.36485451600510577
61,-0.4471285171159094,-0.3320778360912659,193.57500000000002,35.375,0.8505099629938359,0.6106442577030813,0.17048696687243545
62,0.35864994041280324,0.5415303610738824,659.05,58.25,0.45509086951212396,0.35434173669467783,0.42740322692337185
63,0.37866520741146126,0.10294844476629171,716.325,64.875,0.40643599314032075,0.2801120448179272,0.2920404225340002
64,0.25686689517126765,0.3420094824871251,163.6375,5.0,0.8759417458202148,0.9509803921568627,0.6064496289088676
65,-0.1419220623310487,-0.1126097439324291,862.8874999999999,65.25,0.28193175362495826,0.2759103641456583,0.07582757787678468
66,-0.19504910501157882,-0.10551905227744257,168.875,7.25,0.8714925111629068,0.9257703081232493,0.37417366549928366
67,-0.31600823891517227,-0.5318809681921509,598.8625,55.875,0.5062199026265352,0.38095238095238093,0.009820769117898226
68,0.05905155927895979,0.05900944494931049,96.55,7.25,0.9329323004879292,0.9257703081232493,0.4941909032098622
69,0.4648459531657308,0.5618352057475743,704.75625,66.25,0.41626359857072326,0.2647058823529411,0.4269126599592424
70,0.05056783652844027,0.2994461740776089,576.75,51.0,0.5250043802131172,0.43557422969187676,0.3276481551277608
71,0.7929306257263902,0.7194353478352862,716.6875,62.0,0.4061280508848031,0.3123249299719888,0.557704738604617
72,0.15091403798398345,0.41517327682330984,963.0625,71.25,0.19683350411740042,0.20868347338935578,0.2429010730785124
73,0.0265451004471174,-0.034599953073845474,83.32499999999999,5.125,0.9441668834650937,0.9495798319327731,0.47142296569278463
74,-0.03633244993089929,-0.015738764073941078,61.85000000000001,6.0,0.9624098074299033,0.9397759103641457,0.46252862594730215
75,-0.5857034870418927,-0.5824139538374904,879.6125,62.75,0.26772393507727765,0.303921568627451,-0.1491179842936636
78,-0.2097691821186851,-0.2809455658954546,533.0,47.375,0.5621698248445688,0.47619047619047616,0.1369113882552263
79,0.10196421988231766,0.014443916181244298,775.4937500000001,61.625,0.3561723839508991,0.3165266106442577,0.19727678266467968
80,-0.3601453493552881,-0.3575512643472615,743.0,59.875,0.3837756906136015,0.33613445378151263,0.0005533826731411451
81,0.3298014802367676,0.36162225725655855,934.7750000000001,70.25,0.22086361874625027,0.21988795518207283,0.28304382785541227
82,0.17255397768883088,-0.231874980370699,79.05,5.25,0.9477984783405098,0.9481792717086834,0.45916418684183125
83,0.182657392333465,0.38821491187727225,571.425,51.125,0.5295279457596883,0.4341736694677871,0.3836434798595532
84,0.5384293595898662,0.4523598283977971,208.7625,7.25,0.8376082443574892,0.9257703081232493,0.6885419351171005
87,-0.13064993614295434,-0.2947508199235704,93.21249999999999,7.125,0.9357674929783857,0.927170868347339,0.3593844013148
89,-0.3566034918521199,-0.33038412590649213,65.875,8.125,0.9589905865238098,0.9159663865546218,0.2969923388299549
90,-0.3791531875631291,-0.3926978010769695,51.67500000000001,9.25,0.9710534279813323,0.9033613445378151,0.2756409459697622
91,-0.2401774637059193,-0.23652495839563303,651.3375,47.5,0.4616426064657255,0.47478991596638653,0.11493252508263993
93,0.2724455974723064,0.19396987420446113,811.1875,70.625,0.3258506904808678,0.21568627450980393,0.2519881091668598
94,-0.19328339186894689,0.01887270167664304,738.91875,63.875,0.38724269566279257,0.2913165266106442,0.12603713302028324
95,-0.2909831578830388,-0.20156963439972284,895.7687500000001,69.5,0.2539992673098058,0.2282913165266106,-0.0025655521115862945
96,0.29636649881202903,0.252347024211878,140.97499999999997,6.625,0.8951934461393067,0.9327731092436975,0.5941700196017279
97,-0.21857349343839644,-0.19836783255726204,635.76875,55.875,0.47486819540528924,0.38095238095238093,0.10971981259050292
98,0.21035628524129887,0.004217973348083555,119.525,11.125,0.9134151327071841,0.8823529411764706,0.5025855831182593
